"MUNICIPALITY","DISTRICT","LONGITUDE","LATITUDE","ROOMS","FLOOR_AREA","BALCONY","ELEVATOR","IS_YOUTH","IS_SENIOR","RENT","PUBLISHED","LEASE_TYPE"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","51",true,true,false,false,"11830","2024-12-13","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","54",true,true,false,false,"11957","2024-12-13","Hyresrätt"
"Järfälla","Söderhöjden",17.852246761,59.416554213,"2","54",true,true,false,false,"11957","2024-12-13","Hyresrätt"
"Stockholm","Åkeshov",17.933298,59.334366,"4","90",true,true,false,false,"19365","2024-12-17","Hyresrätt"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Kista",17.945751,59.40801,"1","29",false,true,false,false,"8738","2024-12-17","Studentlägenhet"
"Stockholm","Vårberg",17.883467674,59.272284198,"3","60",false,false,false,false,"14669","2024-12-13","Hyresrätt"
"Botkyrka","Tumba",17.827417,59.181732,"1","25",true,true,false,false,"7569","2024-12-14","Hyresrätt"
"Tyresö","Bollmora",18.222988,59.24655,"1","38",false,true,false,false,"8440","2024-12-17","Hyresrätt"
"Södertälje","Brunnsäng",17.627595663,59.223530869,"2","50",true,false,false,false,"10029","2024-12-13","Hyresrätt"
"Västerås","Skallberget",16.558136701,59.624339484,"3","86",true,true,false,false,"10264","2024-12-12","Hyresrätt"
"Västerås","Råby",16.497736,59.606735,"2","64",true,false,false,false,"8928","2024-12-17","Hyresrätt"
"Huddinge","Källbrink",17.96076,59.252632,"4","95",true,true,false,false,"20279","2024-12-07","Hyresrätt"
"Huddinge","Källbrink",17.96076,59.252632,"3","66",true,true,false,false,"15500","2024-12-07","Hyresrätt"
"Södertälje","Blombacka",17.600365877,59.189982455,"1","33",true,true,false,false,"7625","2024-12-10","Hyresrätt"
"Järfälla","Barkarbystaden",17.864792828,59.410469679,"1","35",true,true,false,false,"15785","2024-12-17","Hyresrätt"
"Järfälla","Veddesta",17.840208,59.401157,"3","66",true,true,false,false,"9965","2024-12-16","Hyresrätt"
"Södertälje","Blombacka",17.600365877,59.189982455,"2","62",false,true,false,false,"12521","2024-12-14","Hyresrätt"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"4","95",true,true,false,false,"12028","2024-12-14","Hyresrätt"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"4","95",true,true,false,false,"11295","2024-12-14","Hyresrätt"
"Sigtuna","Märsta Centrum",17.855379581,59.61992876,"4","100",true,true,false,false,"7475","2024-12-14","Hyresrätt"
"Huddinge","Källbrink",17.96113,59.252373,"2","54",true,true,false,false,"20279","2024-12-10","Hyresrätt"
"Huddinge","Källbrink",17.96113,59.252373,"2","50",false,true,false,false,"20208","2024-12-10","Hyresrätt"
"Sigtuna","Valsta",17.82491487,59.616226633,"2","55",true,true,false,false,"13241","2024-12-17","Hyresrätt"
"Stockholm","Sköndal",18.125807561,59.26170972,"4","109",true,true,false,false,"11110","2024-12-14","Hyresrätt"
"Sundbyberg","Ursvik",17.944487826,59.384880879,"1","25",false,true,false,false,"9520","2024-12-14","Hyresrätt"
"Värmdö","Stavsnäs",18.690334846,59.284541933,,"69",true,true,false,false,"7654","2024-12-12","Korttidskontrakt"
"Upplands Väsby","Väsby Centrum",17.903637886,59.520051938,"1","26",false,false,false,false,"11429","2024-12-14","Hyresrätt"
"Stockholm","Skärholmen",17.906177787,59.274535373,"1","15",false,false,false,true,"6973","2024-12-17","SeniorbostadPlus65"
"Värmdö","Stavsnäs",18.690922034,59.285049878,"2","39",false,true,false,false,"7376","2024-12-17","Korttidskontrakt"
"Upplands-Bro","Kungsängen",17.745321,59.477665,"2","71",true,false,false,false,"10564","2024-12-17","Hyresrätt"
"Sigtuna","Tingvalla",17.842963227,59.620158459,"2","71",true,true,false,false,"13572","2024-12-17","Hyresrätt"
"Stockholm","Kärrtorp",18.110876083,59.284879489,"1","40",true,true,false,false,"7580","2024-12-14","Studentlägenhet"
"Nacka","Älta",18.177362,59.25551,"2","59",true,true,false,false,"16449","2024-12-17","Hyresrätt"
"Sollentuna","Rotsunda",17.916899364,59.481822188,"1","38",true,true,false,false,"9907","2024-12-17","Korttidskontrakt"
"Huddinge","Flemingsberg",17.936717874,59.212106632,"2","59",true,true,false,false,"4369","2024-12-14","Studentkorridor"
"Järfälla","Skälby",17.842399835,59.400229699,"3","73",false,true,false,false,"6773","2024-12-12","Studentlägenhet"
"Lidingö","Larsberg",18.147579432,59.348486215,"3","68",true,true,true,false,"10978","2024-12-17","UngdomKorttid"
"Södertälje","Blombacka",17.598602877,59.190620719,"1","35",true,true,false,false,"9609","2024-12-14","Hyresrätt"
"Haninge","Handen",18.135759881,59.158519574,"1","35",true,true,true,false,"5512","2024-12-14","UngdomKorttid"
"Södertälje","Karlhov",17.609476376,59.20734156,"2","45",true,true,false,false,"7310","2024-12-14","Korttidskontrakt"
"Sigtuna","Steninge",17.799291372,59.607281104,"3","55",true,true,false,false,"10144","2024-12-14","Hyresrätt"
"Sigtuna","Steninge",17.799291372,59.607281104,"3","55",true,true,false,false,"13631","2024-12-14","Hyresrätt"
"Sigtuna","Steninge",17.799291372,59.607281104,"3","55",true,true,false,false,"9868","2024-12-14","Hyresrätt"
"Sigtuna","Steninge",17.799291372,59.607281104,"3","75",true,true,false,false,"13645","2024-12-14","Hyresrätt"
"Sigtuna","Steninge",17.799291372,59.607281104,"3","75",true,true,false,false,"16098","2024-12-14","Hyresrätt"
"Solna","Ulriksdal",17.999145603,59.379510565,"3","75",true,true,true,false,"6616","2024-12-17","UngdomKorttid"
"Nacka","Orminge",18.258066,59.327267,"3","78",false,true,false,false,"8983","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"2","59",false,true,false,false,"8983","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"2","48",false,true,false,false,"11100","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"2","56",false,false,false,false,"12903","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"2","33",true,true,false,false,"13085","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"3","83",true,false,false,false,"13085","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"1","34",false,false,false,false,"13085","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"1","36",false,false,false,false,"15344","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"4","93",true,true,false,false,"15594","2024-11-28","Hyresrätt"
"Nacka","Orminge",18.258066,59.327267,"2","42",false,true,false,false,"15594","2024-11-28","Hyresrätt"
"Upplands Väsby","Väsby Centrum",17.917639017,59.517123982,"4","90",true,true,false,true,"12981","2024-12-12","SeniorbostadPlus65"
"Upplands Väsby","Väsby Centrum",17.917639017,59.517123982,"2","35",false,true,false,true,"10873","2024-12-12","SeniorbostadPlus65"
"Nacka","Fisksätra",18.259012183,59.293096656,"3","77",true,false,false,false,"8575","2024-12-17","Hyresrätt"
"Sigtuna","Tingvalla",17.846625332,59.620047618,"1","27",false,true,false,false,"8411","2024-12-13","Hyresrätt"
"Botkyrka","Tumba",17.826431,59.18046,"2","68",true,true,false,false,"9556","2024-12-17","Hyresrätt"
"Nynäshamn","Ösmo",17.902271226,58.987635205,"2","62",false,true,false,false,"11148","2024-12-17","Hyresrätt"
"Huddinge","Flemingsberg",17.939990434,59.212070923,"2","55",true,true,false,false,"5001","2024-12-14","Studentkorridor"
"Huddinge","Flemingsberg",17.939990434,59.212070923,"1","27",true,true,false,false,"5203","2024-12-12","Studentkorridor"
"Sundbyberg","Rissne",17.931673707,59.373742816,"1","40",true,true,false,false,"18580","2024-12-14","Hyresrätt"
"Huddinge","Flemingsberg",17.937958782,59.223580254,"3","69",true,true,false,false,"6539","2024-12-14","Studentlägenhet"
"Järfälla","Jakobsbergs Centrum",17.844961882,59.42137395,"1","15",true,false,false,false,"16043","2024-12-17","Hyresrätt"
"Stockholm","Skärholmen",17.882149399,59.272817302,"1","15",true,false,false,false,"10882","2024-12-17","Hyresrätt"
"Solna","Bergshamra",18.036108639,59.380661833,"2","51",true,true,true,false,"7783","2024-12-14","UngdomKorttid"
"Stockholm","Stadshagen",18.021865937,59.335269571,"2","47",true,true,false,false,"5196","2024-12-17","Hyresrätt"
"Sigtuna","Steninge",17.799825668,59.605861794,"1","31",false,false,false,false,"13097","2024-12-06","Hyresrätt"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"1","50",true,false,false,false,"12028","2024-12-07","Hyresrätt"
"Sigtuna","Steninge",17.799825668,59.605861794,"1","25",false,true,false,false,"11295","2024-12-07","Hyresrätt"
"Täby","Täby park",18.090633,59.44525,"1","23",false,true,false,false,"10209","2024-12-17","Hyresrätt"
"Sigtuna","Steninge",17.799825668,59.605861794,"1","23",false,true,false,false,"8063","2024-12-11","Hyresrätt"
"Stockholm","Södermalm",18.082122878,59.311969818,"2","53",false,true,true,false,"7747","2024-12-17","UngdomKorttid"
"Upplands-Bro","Finnsta",17.652345742,59.51315741,"2","49",false,true,false,false,"6832","2024-12-11","Hyresrätt"
"Stockholm","Tensta",17.896772,59.39634,"1","15",true,false,false,true,"8573","2024-12-16","SeniorbostadPlus65"
"Solna","Ulriksdal",17.999244887,59.379957878,"1","15",true,false,true,false,"6336","2024-12-12","UngdomKorttid"
"Södertälje","Blombacka",17.59678,59.1899,"4","104",true,true,false,false,"7956","2024-12-12","Hyresrätt"
"Södertälje","Blombacka",17.600086927,59.190575935,"3","84",true,true,false,false,"9668","2024-12-12","Hyresrätt"
"Nykvarn","Nykvarn",17.439006334,59.175134598,"3","64",true,true,false,false,"4154","2024-12-13","Hyresrätt"
"Nykvarn","Nykvarn",17.439988237,59.175185107,"4","91",true,true,false,false,"4155","2024-12-13","Hyresrätt"
"Värmdö","Ingarö",18.436560631,59.276494109,"1","34",false,true,false,true,"8299","2024-12-17","SeniorbostadPlus55"
"Sundbyberg","Sundbyberg Centrum",17.966564802,59.363379252,"1","30",true,true,false,false,"7404","2024-12-14","Korttidskontrakt"
"Södertälje","Geneta",17.579917296,59.194746898,"2","48",true,true,false,false,"5639","2024-12-12","Hyresrätt"
"Södertälje","Fornhöjden",17.665574113,59.18707602,"2","55",false,true,false,false,"7198","2024-12-12","Hyresrätt"
"Stockholm","Kista",17.942531439,59.396586237,"2","52",true,true,false,false,"5251","2024-12-12","Studentlägenhet"
"Sigtuna","Östra Steninge",17.798194885,59.607620487,"2","51",false,false,false,false,"11055","2024-12-12","Hyresrätt"
"Huddinge","Flemingsberg",17.938850748,59.222434192,"1","29",false,true,false,false,"4913","2024-12-13","Studentlägenhet"
"Huddinge","Flemingsberg",17.938850748,59.222434192,"1","24",false,true,false,false,"4792","2024-12-13","Studentlägenhet"
"Huddinge","Flemingsberg",17.938850748,59.222434192,"3","70",true,true,false,false,"4926","2024-12-13","Studentlägenhet"
"Solna","Bergshamra",18.034203685,59.381134395,"1","20",false,true,true,false,"5420","2024-12-13","UngdomKorttid"
"Solna","Ulriksdal",18.000605481,59.378408455,"1","24",false,true,false,false,"4985","2024-12-13","Hyresrätt"
"Nykvarn","Nykvarn",17.437236148,59.175426183,"1","21",false,true,false,false,"4155","2024-12-17","Hyresrätt"
"Nykvarn","Nykvarn",17.437948578,59.175327454,"1","24",false,true,false,false,"4155","2024-12-17","Hyresrätt"
"Stockholm","Rågsved",18.035610164,59.256389693,"1","24",false,true,false,false,"7320","2024-12-14","Hyresrätt"
"Solna","Bergshamra",18.034608779,59.381675238,"2","55",true,false,true,false,"9994","2024-12-13","UngdomKorttid"
"Södertälje","Saltskog",17.628008265,59.184160118,"1","18",false,false,false,false,"9653","2024-12-14","Korttidskontrakt"
"Stockholm","Hagsätra",18.019105244,59.257138387,"2","39",true,true,false,false,"8843","2024-12-14","Hyresrätt"
"Stockholm","Husby",17.927440974,59.408963626,"2","64",true,true,false,false,"10035","2024-12-14","Hyresrätt"
"Huddinge","Sjödalen-Fullersta",17.989081301,59.24119459,"3","60",true,true,false,false,"12145","2024-12-17","Hyresrätt"
"Stockholm","Södermalm",18.037899459,59.314701593,"1","27",true,true,false,false,"12703","2024-12-14","Hyresrätt"
"Nacka","Finntorp",18.139191343,59.309936402,"1","28",true,false,true,false,"5467","2024-12-14","Ungdomslägenhet"
"Stockholm","Södra Hammarbyhamnen",18.112685065,59.305487416,"2","57",true,true,false,false,"7445","2024-12-14","Studentlägenhet"
"Stockholm","Södermalm",18.042300036,59.317248241,"3","75",true,false,false,false,"9842","2024-12-14","Studentlägenhet"
"Haninge","Handen",18.138716536,59.167015756,"3","79",true,true,false,false,"10099","2024-12-14","Hyresrätt"
"Stockholm","Södermalm",18.081189944,59.31115098,"1","16",true,true,true,false,"6820","2024-12-14","UngdomKorttid"
"Sundbyberg","Rissne",17.934880257,59.372522603,"1","16",true,true,false,false,"7455","2024-12-14","Hyresrätt"
"Österåker","Åkersberga",18.308007717,59.477337391,"1","16",true,true,false,false,"9851","2024-12-14","Hyresrätt"
"Haninge","Vega",18.133964539,59.185668423,"1","37",true,false,false,false,"8801","2024-12-14","Hyresrätt"
"Österåker","Margretelund",18.308050632,59.477326493,"1","16",true,true,false,false,"9735","2024-12-14","Hyresrätt"
"Haninge","Handen",18.135724068,59.160328297,"2","59",true,true,false,false,"10679","2024-12-14","Hyresrätt"
"Haninge","Handen",18.138716536,59.167015756,"1","43",false,true,false,false,"10302","2024-12-14","Hyresrätt"
"Stockholm","Södermalm",18.069215993,59.311485285,"4","90",true,true,true,false,"5752","2024-12-14","Ungdomslägenhet"
"Haninge","Handen",18.135745525,59.160333797,"1","26",false,true,false,false,"10908","2024-12-14","Hyresrätt"
"Österåker","Margretelund",18.308200836,59.477391881,"5","141",true,false,false,false,"9851","2024-12-17","Hyresrätt"
"Stockholm","Enskede Gård",18.074028008,59.288269236,"2","69",false,false,false,false,"6694","2024-12-14","Hyresrätt"
"Stockholm","Farsta",18.100748062,59.248829641,"1","22",false,true,true,false,"7415","2024-12-14","Ungdomslägenhet"
"Huddinge","Flemingsberg",17.950857417,59.21696565,"1","14",false,true,false,false,"4868","2024-12-14","Studentlägenhet"
"Stockholm","Fruängen",17.951254993,59.286623249,"1","18",false,true,false,false,"12901","2024-12-14","Hyresrätt"
"Huddinge","Flemingsberg",17.950857417,59.21696565,"1","21",false,true,false,false,"4410","2024-12-14","Studentlägenhet"
"Huddinge","Flemingsberg",17.950857417,59.21696565,"1","32",true,true,false,false,"4868","2024-12-14","Studentlägenhet"
"Huddinge","Flemingsberg",17.951069629,59.216998068,"1","18",false,true,false,false,"4508","2024-12-14","Studentlägenhet"
"Huddinge","Flemingsberg",17.951069629,59.216998068,"2","55",true,true,false,false,"4868","2024-12-14","Studentlägenhet"
"Huddinge","Flemingsberg",17.950857417,59.21696565,"1","26",false,true,false,false,"4868","2024-12-14","Studentlägenhet"
"Huddinge","Skogås",18.14770555,59.220699888,"1","27",true,true,false,false,"6830","2024-12-17","Hyresrätt"
"Stockholm","Solberga",18.000171215,59.28829553,"2","59",true,true,true,false,"3412","2024-12-14","UngdomKorttid"
"Stockholm","Solberga",18.007401612,59.288281249,"2","52",true,true,false,false,"9340","2024-12-14","Hyresrätt"
"Stockholm","Solberga",18.010067799,59.286898159,"2","52",true,true,true,false,"4225","2024-12-14","UngdomKorttid"
"Södertälje","Ronna",17.591872791,59.206183822,"2","55",true,true,false,false,"9594","2024-12-13","Hyresrätt"
"Stockholm","Östberga",18.03284179,59.288665824,"4","83",true,true,false,false,"10085","2024-12-14","Hyresrätt"
"Vallentuna","Vallentuna C",18.085078485,59.531690797,"2","54",true,true,false,false,"6754","2024-12-14","Hyresrätt"
"Botkyrka","Norsborg",17.784468455,59.242033574,"2","45",true,false,false,false,"3917","2024-12-17","Hyresrätt"
"Stockholm","Högdalen",18.048308792,59.262304786,"1","33",true,true,false,false,"7360","2024-12-14","Hyresrätt"
"Stockholm","Årsta",18.046041601,59.294015917,"1","42",true,false,false,false,"9473","2024-12-14","Hyresrätt"
"Botkyrka","Norsborg",17.820183571,59.247600488,"2","49",true,true,false,false,"8741","2024-12-17","Hyresrätt"
"Stockholm","Bromsten",17.908476,59.37778,"1","33",true,true,false,false,"6571","2024-12-14","Studentlägenhet"
"Stockholm","Bromsten",17.908895,59.378025,"1","33",true,true,false,false,"6571","2024-12-14","Studentlägenhet"
"Stockholm","Bromsten",17.908895,59.378025,"1","33",true,true,false,false,"6571","2024-12-14","Studentlägenhet"
"Stockholm","Högdalen",18.047975838,59.263109735,"1","42",true,false,false,false,"5208","2024-12-14","Hyresrätt"
"Stockholm","Bromsten",17.908895,59.378025,"1","34",true,true,false,false,"6571","2024-12-14","Studentlägenhet"
"Botkyrka","Norsborg",17.81258311,59.246236332,"4","80",true,true,false,false,"7296","2024-12-17","Hyresrätt"
"Stockholm","Vasastaden",18.044955801,59.348542223,"1","42",true,false,true,false,"5882","2024-12-17","Ungdomslägenhet"
"Haninge","Brandbergen",18.176897606,59.170545295,"1","42",true,false,false,false,"12769","2024-12-14","Hyresrätt"
"Stockholm","Tallkrogen",18.082554,59.264538,"3","82",true,true,false,false,"6900","2024-12-14","Studentlägenhet"
"Haninge","Brandbergen",18.17506648,59.171889841,"1","42",true,false,false,false,"18057","2024-12-14","Hyresrätt"
"Stockholm","Södermalm",18.085751724,59.315013431,"3","76",true,true,false,false,"10811","2024-12-14","Korttidskontrakt"
"Stockholm","Norra Djurgården",18.059334755,59.355585173,"2","43",true,true,false,false,"7649","2024-12-14","Studentlägenhet"
"Stockholm","Norra Djurgården",18.05953,59.35726,"1","37",true,false,false,false,"6004","2024-12-14","Studentkorridor"
"Stockholm","Norra Djurgården",18.05953,59.35726,"2","38",true,true,false,false,"7103","2024-12-14","Studentlägenhet"
"Stockholm","Norra Djurgården",18.056309223,59.35532268,"2","62",true,true,false,false,"7513","2024-12-14","Studentlägenhet"
